title,company,description,salary_min,salary_max
Data Analyst-I,"San Francisco, CA","Job Title: Data Analyst - New Verticals Merchant Onboarding & Experience Pay rate: $38/hr.- $40/hr. - W2 (All inclusive) Duration:11 Months Work Location: REMOTE (HQ, USA, CA, San Francisco, 2nd St) About the Team Manage all BVID requests coming through and process them appropriately via tagging in the right DRIs for approval, asking the necessary questions, and ultimately completing the request Manage all BVID audit and compliance requests from the Internal Audit team Manage the ""tax retailer""…",93789.55,93789.55
Senior Data Analyst,Turo,"About the Team: Turo is seeking a Senior Data Analyst to join our growing team and turbo-charge Turo’s growth in the US. This Data Analyst will have the opportunity to work across domains and collaborate with Product, Engineering, and Operations. The ideal person for this role possesses strong quantitative and analytics skills, is a demonstrated self-starter that operates with an ownership mindset, possess excellent communication skills, and has the ability to get up to speed quickly on differe…",146000.0,182000.0
Data Analyst II,Brex,"Why join us Brex is the intelligent finance platform that enables companies to spend smarter and move faster in more than 200 markets. By combining global corporate cards and banking with intuitive spend management, bill pay, and travel software, Brex enables founders and finance teams to accelerate operations, gain real-time visibility, and control spend effortlessly. Brex’s AI-native automation and world-class service eliminate manual expense and accounting tasks for customers so they can foc…",93600.0,117000.0
Marketing Data Analyst,WGT,"Role World Golf Tour is seeking a Marketing Data Analyst to join our Growth team. You'll be the analytical engine behind our user acquisition and marketing efforts — owning performance measurement, channel analysis, and audience insights that directly inform how we spend and scale. This role sits at the intersection of paid media, organic growth, and product analytics, working closely with UA, brand, and product teams to turn data into decisions. Responsibilities Own reporting and analysis acro…",75000.0,125000.0
Sr. Data Analyst,Thunkable,"Role Overview Thunkable is seeking a Senior Data Analyst to join our Data & Analytics team who can bridge analytics and data foundations. In this role, you’ll not only analyze data to generate insights but also help connect and organize data from multiple sources—such as product analytics, marketing platforms, payments, and user systems—into a more complete and reliable view. We’re looking for practical solutions that help us move faster and make better decisions across the business. You will w…",95664.55,95664.55
Staff Data Analyst,Grow Therapy,"About Us: Grow Therapy is on a mission to serve as the trusted partner for therapists growing their practice, and patients accessing high-quality care. Powered by technology, we are a three-sided marketplace that empowers providers, augments insurance payors, and serves patients. Following the mass increase in depression and anxiety, the need for accessibility is more important than ever. To make our vision for mental healthcare a reality, we’re building a team of entrepreneurs and mission-driv…",182000.0,227000.0
Lead Data Analyst,Chime Financial,"About the Role Chime is the largest and fastest-growing U.S. player in the challenger-banking space. Through our banking partners, we offer access to bank accounts with fee-free overdraft, provide members the chance to receive early access to their paychecks, help them improve their credit, and more. We created Chime because we believe everyone deserves financial peace of mind. We’re looking for a Lead Data Analyst to drive forecasting for key growth and revenue drivers and deliver insights tha…",95043.19,95043.19
Staff Data Analyst,Chime Financial,"About the Role Chime is the largest and fastest-growing U.S. player in the challenger-banking space. Through our banking partners, we offer access to bank accounts with fee-free overdraft, provide members the chance to receive early access to their paychecks, help them improve their credit, and more. We created Chime because we believe everyone deserves financial peace of mind. We’re looking for a Staff Data Analyst to lead critical forecasting and performance insights for Chime’s core growth a…",108885.38,108885.38
Senior Data Analyst (Finance & Accounting),Zip,"We are seeking a Senior Data Analyst with a strong background in Finance analytics to join our Data & Analytics team. This role will partner closely with Finance (Accounting, Treasury and FP&A) and cross-functional stakeholders to deliver high-quality insights, robust reporting, and data models that support decision-making and operational excellence. The ideal candidate has 5 years of experience, is highly proficient in SQL and data modeling, and has hands-on expertise with Tableau (preferred) …",139678.45,139678.45
Senior Data Analyst - Hybrid,Worker'S Compensation Insurance Rating Bureau,"Are you eager to make a real difference through data and innovation? At the WCIRB, the Sr. Data Analyst plays a vital role in supporting a healthy California workers’ compensation system through data-driven insights, innovation, and collaboration. We take pride in producing work that is consistent, accurate, and impactful. Our culture values curiosity, empowerment and safe space, where every question is encouraged and every new idea has the potential to shape the future of our projects. We also…",117000.0,123000.0
Energy Planning Data Analyst,State of California,"Individuals interested in applying for this vacancy must have eligibility. If you are new to state service or need to gain eligibility to this classification, please Click here to open the examination bulletin and follow the instructions on ""How to apply"". For this classification, applicants with disabilities may gain eligibility through the Limited Examination and Appointment Program (LEAP), an alternative to the standard testing process. Click here to open the examination bulletin. Applicants…",161630.75,161630.75
"Data Analyst, Product Analytics",Grow Therapy,"About Us: Grow Therapy is on a mission to serve as the trusted partner for therapists growing their practice, and patients accessing high-quality care. Powered by technology, we are a three-sided marketplace that empowers providers, augments insurance payors, and serves patients. Following the mass increase in depression and anxiety, the need for accessibility is more important than ever. To make our vision for mental healthcare a reality, we’re building a team of entrepreneurs and mission-driv…",124000.0,145800.0
Temp to Perm - Data Analyst,Cvr Associates,"Qualifications This position is responsible for analyzing data and other information for the effective quality control and compliance management of the Housing Choice Voucher Program. Provide support to the HCV management team. This position may also include other duties, responsibilities, and project participation as assigned. Essential duties include (but are not limited to): Assists upper management & Lead Data Analyst with data analysis and program evaluation projects Monitor accuracy of HA…",60008.0,0.0
"Sales Data Analyst, Remote",Aperia Technologies,"Aperia is unlocking a new era of efficiency and sustainability for commercial vehicle fleets, by developing innovative hardware and data analytics solutions. Inventors of the award- winning and disruptive Halo tm Automatic Tire Inflator, and the cloud delivered Halo Connect tire analytics platform. Aperia saves fleets thousands of hours of down-time every week, reduces the carbon footprint and environmental impact of the freight industry. Join us as we expand our product offering and take the n…",120643.7,120643.7
Trade Operations & Data Analyst,Dodge & Cox,"The Trade Operations & Data Analyst will be a key member of the Investment Operations department with a primary focus on security reference data, characteristics data and overall asset data quality. The successful candidate will play a key role in formulating operational strategy, managing operational risk, creating and documenting efficient workflows, and supporting new initiatives for the firm. This person will work closely with other members of the Investment Operations and Technology teams …",130000.0,155000.0
